Date,End Month,Long Port,Short Port,Total Port,S&P,Long Alpha,Short Alpha,Total Alpha
1/4/2019,Jan,0.1938,-0.2555,-0.0309,0.069,0.1248,-0.3245,-0.0998
2/1/2019,Feb,0.0503,0.0009,0.0256,0.0359,0.0144,-0.035,-0.0103
3/1/2019,Mar,-0.0424,0.1079,0.0328,0.011,-0.0533,0.097,0.0218
3/29/2019,Apr,-0.0432,0.0737,0.0153,0.0372,-0.0804,0.0365,-0.022
4/26/2019,May,-0.0553,0.077,0.0109,-0.0387,-0.0166,0.1158,0.0496
5/24/2019,Jun,-0.0058,-0.0353,-0.0205,0.044,-0.0498,-0.0793,-0.0646
6/21/2019,Jul,0.0118,0.1293,0.0705,0.0089,0.0029,0.1204,0.0617
7/19/2019,Aug,-0.0849,0.0967,0.0059,-0.0295,-0.0554,0.1263,0.0354
8/16/2019,Sep,0.0625,-0.0651,-0.0013,0.0411,0.0214,-0.1062,-0.0424
9/13/2019,Oct,-0.0644,0.1884,0.062,-0.0123,-0.052,0.2007,0.0743
10/11/2019,Nov,0.1291,-0.0437,0.0427,0.0393,0.0898,-0.083,0.0034
11/8/2019,Dec,0.0303,0.0082,0.0193,0.0191,0.0113,-0.0108,0.0002
,Average,0.0152,0.0235,0.0194,0.0187,-0.0036,0.0048,0.0006
,Avg (ex Jan),-0.0011,0.0489,0.0239,0.0142,-0.0152,0.0347,0.0098
